key,zh-CN,en-US
🚀 欢迎使用 Vue3 CDN 极简架构,🚀 欢迎使用 Vue3 CDN 极简架构,🚀 Welcome to Vue3 CDN Scaffold
本项目基于原生的 Vue 3 CDN + ESM，配合客户端运行时模板编译器，开箱即用，免去一切打包编译的繁琐步骤。,本项目基于原生的 Vue 3 CDN + ESM，配合客户端运行时模板编译器，开箱即用，免去一切打包编译的繁琐步骤。,This project is based on native Vue 3 CDN + ESM
📊 响应式状态管理,📊 响应式状态管理,📊 Reactive State Management
使用 Pinia 进行全局状态管理，并结合插件实现了数据持久化（刷新页面数据不丢失）。,使用 Pinia 进行全局状态管理，并结合插件实现了数据持久化（刷新页面数据不丢失）。,Uses Pinia for global state management
当前计数:,当前计数:,Current Count:
⚙️ 增加 (直接修改),⚙️ 增加 (直接修改),⚙️ Increase (Direct Modify)
🔄 重置,🔄 重置,🔄 Reset
🔒 权限指令验证,🔒 权限指令验证,🔒 Permission Directive Validation
通过对接全局 `appInfo` store 和自定义的 `v-permission` 指令来动态过滤控制组件的渲染。,通过对接全局 `appInfo` store 和自定义的 `v-permission` 指令来动态过滤控制组件的渲染。,Integrates with the global `appInfo` store and custom `v-permission` directive to filter rendering dynamically.
当前权限列表:,当前权限列表:,Current Permission List:
🙋 包含 'user' 权限时显示,🙋 包含 'user' 权限时显示,🙋 Show when 'user' exists
👑 包含 'admin' 权限时显示,👑 包含 'admin' 权限时显示,👑 Show when 'admin' exists
切换 'user' 权限,切换 'user' 权限,Toggle 'user' Permission
切换 'admin' 权限,切换 'admin' 权限,Toggle 'admin' Permission
🛠️ 架构核心技术特性,🛠️ 架构核心技术特性,🛠️ Core Tech Stack Features
首页,首页,Home
关于,关于,About
"聚合第三方依赖库, Vue3, Vue-Router, Pinia, Axios 及 SFC 编译器全量合并于 vendor.min.js","聚合第三方依赖库, Vue3, Vue-Router, Pinia, Axios 及 SFC 编译器全量合并于 vendor.min.js","Third-party libraries like Vue3, Vue-Router, Pinia, Axios and SFC compiler are merged into vendor.min.js"
零编译运行时解析,零编译运行时解析,Zero-build runtime compilation
全局外置配置文件,全局外置配置文件,Global external configuration
轻量级安全网络层,轻量级安全网络层,Lightweight secure network layer
页面不存在,页面不存在,Page Not Found

